	#	#.1	#.2	#.3	#.4	#.5	#.6	#.7	#.8	#.9	#.10	#.11	#.12
2013	36	43	30	40	59	56	70	78	83	70	81	73	719
2014	43	38	38	33	60	68	65	56	44	57	71	60	633
2015	41	23	30	40	74	54	86	70	59	57	68	63	665
2016	52	39	57	54	67	55	68	67	71	74	77	60	741
2017	59	56	45	56	59	61	67	73	81	72	57	48	734
2018	54	38	28	64	63	71	79	60	72	60	63	63	715
2019	45	39	40	47	40	73	76	63	68	57	55	50	653
2020	44	33	49	48	52	77	73	81	70	57	71	45	700
2021	44	35	46	61	65	76	64	87	81	66	65	74	764
2022	62	55	39	54	79	91	79	93	74	74	69	75	844
Total	480	399	402	497	618	682	727	728	703	644	677	611	7,168
