
Year		January	February	March	April	May	June	July	August	September	October	November	December	Total
#	Row %	Col %	#	Row %	Col %	#	Row %	Col %	#	Row %	Col %	#	Row %	Col %	#	Row %	Col %	#	Row %	Col %	#	Row %	Col %	#	Row %	Col %	#	Row %	Col %	#	Row %	Col %	#	Row %	Col %	#	Row %	Col %
2013	36	5	8	43	6	11	30	4	7	40	6	8	59	8	10	56	8	8	70	10	10	78	11	11	83	12	12	70	10	11	81	11	12	73	10	12	719	100	10
2014	43	7	9	38	6	10	38	6	9	33	5	7	60	9	10	68	11	10	65	10	9	56	9	8	44	7	6	57	9	9	71	11	10	60	9	10	633	100	9
2015	41	6	9	23	3	6	30	5	7	40	6	8	74	11	12	54	8	8	86	13	12	70	11	10	59	9	8	57	9	9	68	10	10	63	9	10	665	100	9
2016	52	7	11	39	5	10	57	8	14	54	7	11	67	9	11	55	7	8	68	9	9	67	9	9	71	10	10	74	10	11	77	10	11	60	8	10	741	100	10
2017	59	8	12	56	8	14	45	6	11	56	8	11	59	8	10	61	8	9	67	9	9	73	10	10	81	11	12	72	10	11	57	8	8	48	7	8	734	100	10
2018	54	8	11	38	5	10	28	4	7	64	9	13	63	9	10	71	10	10	79	11	11	60	8	8	72	10	10	60	8	9	63	9	9	63	9	10	715	100	10
2019	45	7	9	39	6	10	40	6	10	47	7	9	40	6	6	73	11	11	76	12	10	63	10	9	68	10	10	57	9	9	55	8	8	50	8	8	653	100	9
2020	44	6	9	33	5	8	49	7	12	48	7	10	52	7	8	77	11	11	73	10	10	81	12	11	70	10	10	57	8	9	71	10	10	45	6	7	700	100	10
2021	44	6	9	35	5	9	46	6	11	61	8	12	65	9	11	76	10	11	64	8	9	87	11	12	81	11	12	66	9	10	65	9	10	74	10	12	764	100	11
2022	62	7	13	55	7	14	39	5	10	54	6	11	79	9	13	91	11	13	79	9	11	93	11	13	74	9	11	74	9	11	69	8	10	75	9	12	844	100	12
Total	480	7	100	399	6	100	402	6	100	497	7	100	618	9	100	682	10	100	727	10	100	728	10	100	703	10	100	644	9	100	677	9	100	611	9	100	7,168	100	100
